CODIGO SION;CODIGO DANE;DESCRIPCION;DEPARTAMENTO
356;25658000;SAN FRANCISCO;CUNDINAMARCA
357;86755000;SAN FRANCISCO;PUTUMAYO
358;68679000;SAN GIL;SANTANDER
359;13654000;SAN JACINTO;BOLIVAR
360;44650000;SAN JUAN DEL CESAR;GUAJIRA
361;95001000;SAN JOSÉ DEL GUAVIARE;GUAVIARE
362;50683000;SAN JUAN DE ARAMA;META
364;13657000;SAN JUAN NEPOMUCENO;BOLIVAR
365;05660000;SAN LUIS;ANTIOQUIA
366;25843007;SAN LUIS;CUNDINAMARCA
367;70708000;SAN MARCOS;SUCRE
368;20770000;SAN MARTÍN;CESAR
369;50689000;SAN MARTÍN;META
370;70713000;SAN ONOFRE;SUCRE
371;70717000;SAN PEDRO;SUCRE
372;05664000;SAN PEDRO DE LOS MILAGROS;ANTIOQUIA
373;23686000;SAN PELAYO;CORDOBA
374;05667000;SAN RAFAEL;ANTIOQUIA
375;05670000;SAN ROQUE;ANTIOQUIA
379;05674000;SAN VICENTE;ANTIOQUIA
380;68689000;SAN VICENTE DE CHUCURÍ;SANTANDER
381;05679000;SANTA BÁRBARA;ANTIOQUIA
382;05042000;SANTA FÉ DE ANTIOQUIA;ANTIOQUIA
383;47001000;SANTA MARTA;MAGDALENA
384;66682000;SANTA ROSA DE CABAL;RISARALDA
385;05686000;SANTA ROSA DE OSOS;ANTIOQUIA
386;15693000;SANTA ROSA DE VITERBO;BOYACA
387;73547002;DOIMA;TOLIMA
388;19698000;SANTANDER DE QUILICHAO;CAUCA
389;05697000;EL SANTUARIO;ANTIOQUIA
390;66687000;SANTUARIO;RISARALDA
391;54720000;SARDINATA;NORTE DE SANTANDER
392;25718000;SASAIMA;CUNDINAMARCA
393;05736000;SEGOVIA;ANTIOQUIA
394;25736000;SESQUILÉ;CUNDINAMARCA
395;76736000;SEVILLA;VALLE DEL CAUCA
396;25740000;SIBATÉ;CUNDINAMARCA
397;25745000;SIMIJACA;CUNDINAMARCA
399;25754000;SOACHA;CUNDINAMARCA
400;15753000;SOATÁ;BOYACA
401;68755000;SOCORRO;SANTANDER
402;15759000;SOGAMOSO;BOYACA
403;08758000;SOLEDAD;ATLANTICO
404;05756000;SONSÓN;ANTIOQUIA
405;05761000;SOPETRÁN;ANTIOQUIA
406;25758000;SOPÓ;CUNDINAMARCA
407;17777000;SUPÍA;CALDAS
409;41668000;SAN AGUSTÍN;HUILA
410;25785000;TABIO;CUNDINAMARCA
411;27787000;TADÓ;CHOCO
412;13780000;TALAIGUA NUEVO;BOLIVAR
413;81794000;TAME;ARAUCA
414;05789000;TÁMESIS;ANTIOQUIA
415;05790000;TARAZÁ;ANTIOQUIA
416;41801000;TERUEL;HUILA
417;41797000;TESALIA;HUILA
418;54810000;TIBÚ;NORTE DE SANTANDER
419;23807000;TIERRALTA;CORDOBA
420;41807000;TIMANÁ;HUILA
421;19807000;TIMBÍO;CAUCA
422;05809000;TITIRIBÍ;ANTIOQUIA
423;25815000;TOCAIMA;CUNDINAMARCA
424;70820000;SANTIAGO DE TOLÚ;SUCRE
425;76823000;TORO;VALLE DEL CAUCA
426;76828000;TRUJILLO;VALLE DEL CAUCA
427;76834000;TULUÁ;VALLE DEL CAUCA
428;52835000;TUMACO;NARIÑO
429;15001000;TUNJA;BOYACA
430;52838000;TÚQUERRES;NARIÑO
431;13836000;TURBACO;BOLIVAR
432;05837000;TURBO;ANTIOQUIA
433;25843000;VILLA DE SAN DIEGO DE UBATÉ;CUNDINAMARCA
434;05847000;URRAO;ANTIOQUIA
1206;05120002;EL JARDIN (TAMANA);ANTIOQUIA
376;20228000;SAN ROQUE;CESAR
436;05854000;VALDIVIA;ANTIOQUIA
437;23855000;VALENCIA;CORDOBA
438;20001000;VALLEDUPAR;CESAR
439;68861000;VÉLEZ;SANTANDER
440;73861000;VENADILLO;TOLIMA
441;05861000;VENECIA;ANTIOQUIA
442;15861000;VENTAQUEMADA;BOYACA
443;76863000;VERSALLES;VALLE DEL CAUCA
445;76869000;VIJES;VALLE DEL CAUCA
446;54874000;VILLA DEL ROSARIO;NORTE DE SANTANDER
447;86885000;VILLAGARZÓN;PUTUMAYO
448;17873000;VILLAMARÍA;CALDAS
449;44874000;VILLANUEVA;GUAJIRA
450;25873000;VILLAPINZÓN;CUNDINAMARCA
759;19397000;LA VEGA;CAUCA
760;19355000;INZÁ;CAUCA
761;68502000;ONZAGA;SANTANDER
762;73686000;SANTA ISABEL;TOLIMA
763;23079002;VILLA FÁTIMA;CORDOBA
764;44855000;URUMITA;GUAJIRA
765;44098000;DISTRACCIÓN;GUAJIRA
766;23417002;EL CARITO;CORDOBA
767;47980004;ORIHUECA;MAGDALENA
768;47980006;RIOFRÍO;MAGDALENA
770;47980010;TUCURINCA;MAGDALENA
771;47692003;LA PACHA;MAGDALENA
772;70110000;BUENAVISTA;SUCRE
773;70204000;RICAURTE (COLOSÓ);SUCRE
774;44110000;EL MOLINO;GUAJIRA
775;70418000;LOS PALMITOS;SUCRE
776;47268000;EL RETÉN;MAGDALENA
777;23682000;SAN JOSÉ DE URÉ;CORDOBA
778;47030000;ALGARROBO;MAGDALENA
779;08558000;POLONUEVO;ATLANTICO
780;47980001;GUACAMAYAL;MAGDALENA
781;47161000;CERRO DE SAN ANTONIO;MAGDALENA
782;20383000;LA GLORIA;CESAR
783;47605000;REMOLINO;MAGDALENA
784;08606000;REPELÓN;ATLANTICO
786;08141000;CANDELARIA;ATLANTICO
788;20400000;LA JAGUA DE IBIRICO;CESAR
789;47980008;SEVILLA;MAGDALENA
790;20787000;TAMALAMEQUE;CESAR
791;08296000;GALAPA;ATLANTICO
792;20250000;EL PASO;CESAR
793;25426000;MACHETÁ;CUNDINAMARCA
794;05264000;ENTRERRÍOS;ANTIOQUIA
795;47980007;SANTA ROSALIA;MAGDALENA
797;23678000;SAN CARLOS;CORDOBA
798;23500000;MOÑITOS;CORDOBA
800;05885000;YALÍ;ANTIOQUIA
802;52260000;EL TAMBO;NARIÑO
804;19256000;EL TAMBO;CAUCA
806;20032001;ARJONA;CESAR
807;13433003;MALAGANA;BOLIVAR
808;54673000;SAN CAYETANO;NORTE DE SANTANDER
810;85250000;PAZ DE ARIPORO;CASANARE
811;13873000;VILLANUEVA;BOLIVAR
812;18785000;SOLITA;CAQUETA
816;15776000;SUTAMARCHÁN;BOYACA
817;25438000;MEDINA;CUNDINAMARCA
819;85430000;TRINIDAD;CASANARE
820;85263000;PORE;CASANARE
821;54385000;LA ESPERANZA;NORTE DE SANTANDER
822;41518000;PAICOL;HUILA
823;18029000;ALBANIA;CAQUETA
824;73678000;SAN LUIS;TOLIMA
826;15367000;JENESANO;BOYACA
827;19022000;ALMAGUER;CAUCA
828;41660000;SALADOBLANCO;HUILA
829;08520000;PALMAR DE VARELA;ATLANTICO
830;15804000;TIBANÁ;BOYACA
831;05120006;PUERTO BÉLGICA;ANTIOQUIA
832;68207000;CONCEPCIÓN;SANTANDER
833;15180000;CHISCAS;BOYACA
835;41013000;AGRADO;HUILA
837;47980003;LA GRAN VÍA;MAGDALENA
